Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"10/01/2019","18 CANNONBROOK AVE, LUCAN, DUBLIN","","Dublin","€325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","18 MOUNT ANVILLE LAWN, GOATSTOWN, DUBLIN 14","Dublin 14","Dublin","€801,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","2 HOLYWELL LAWW, FELTRIM, DUBLIN","","Dublin","€314,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","2 SHANGAN CRESCENT, BALLYMUN, DUBLIN 9","Dublin 9","Dublin","€210,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","23 ALLENDALE DR, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€445,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","23 CARRIGLEA WALK, FIRHOUSE, DUBLIN 24","Dublin 24","Dublin","€422,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","24 Beechwood Heath, Beechwood, Hansfield","Dublin 15","Dublin","€303,965.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","25 Marrsfield Avenue, Belltree, Clongriffin","Dublin 13","Dublin","€352,422.90","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","25 Temple Woods, Greenhill Road, Dublin 24","Dublin 24","Dublin","€321,585.90","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","273 RATOATH RD, CABRA, DUBLIN 7","Dublin 7","Dublin","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","30 GRANGEMORE RD, DOWAGHMEDE, DUBLIN 13","Dublin 13","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","31 THOMAS HAND ST, SKERRIES, DUBLIN","","Dublin","€277,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","32 larkfield heath, clay farm, leopardstown","Dublin 18","Dublin","€555,066.07","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","37 Stillorgan Gate, Upper Kilmacud Road, Stillorgan","","Dublin","€405,286.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","38 Beechwood Heath, Beechwood, Hansfield","Dublin 15","Dublin","€321,585.90","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","4 Kings Hall, Malahide","","Dublin","€229,074.88","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","4 WAVENEY, HARBOUR RD, HOWTH DUBLIN 13","Dublin 13","Dublin","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","40 beechwood heath, beechwood, hansfield","Dublin 15","Dublin","€437,665.19","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","40 BUSHFIELD DR, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€335,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","41 THE HOLLY, ROCKFIELD, DUNDRUM DUBLIN 14","Dublin 16","Dublin","€360,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","42 PARK BLVD, TYRELLSTOWN, DUBLIN 15","Dublin 15","Dublin","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","45 MARSHAM COURT, STILLORGAN, DUBLIN","","Dublin","€540,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","47 DELHURST TERRACE, ONGAR PARK, DUBLIN 15","Dublin 15","Dublin","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","50 PORTERSFIELD, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€266,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","52 Brighton Wood, Brighton Road, Foxrock","","Dublin","€682,819.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","56 HOME FARM RD, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin","€650,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","6 AYREFIELD AVE, AYRFIELD EST, COOLOCK DUBLIN 13","Dublin 13","Dublin","€247,500.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","8 St. Helen's Chase, St. Helen's, Adamstown","","Dublin","€264,317.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","8 White Pines Drive, Stocking Avenue, Rathfarnham","Dublin 24","Dublin","€365,647.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","93 CLON BRUGH, AIKENS VILLAGE, SANDYFORD DUBLIN 18","Dublin 18","Dublin","€465,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","Apartment 18 Ardilaun Court, Sybil Hill Road, Raheny","","Dublin","€431,718.00","No","Yes","New Dwelling house /Apartment",""
"10/01/2019","APT 5 DOCK MILL, BARROW STREET, DUBLIN 4","","Dublin","€352,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","APT 75, SOUTH GATE, CORK ST DUBLIN 8","Dublin 8","Dublin","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/01/2019","APT 84, BACHELORS WALK, DUBLIN 1","Dublin 1","Dublin","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","1 Broadfield Grange, Broadfield Manor, Rathcoole","","Dublin","€378,855.00","No","Yes","New Dwelling house /Apartment",""
"11/01/2019","10 GLENABBEY RD, MOUNT MERRION, BLACKROCK","","Dublin","€929,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","10 ST ANNES TERRACE, RAHENY DUBLIN 5","","Dublin","€620,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","108 MILLPARK, OLD NANGOR RD, CLONDALKIN DUBLIN 22","Dublin 22","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","11 CHAPEL FARM SQ, LUSK, DUBLIN","","Dublin","€284,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","12 ASHLEY COURT 31 CLYDE RD, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin","€665,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","120 PARK DRIVE AVE, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","€395,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"11/01/2019","131 CHAPELGATE, ST ALPHONSUS RD, DRUMCONDRA","Dublin 9","Dublin","€580,000.00","No","No","Second-Hand Dwelling house /Apartment",""
