,Luas_quantity,Bus_quantity,Train_quantity,PS_quantity,SS_quantity,Garda_quantity,Price,VAT_exclusive,Longitude,Latitude,New_Dwelling_House_Apartment,Second_Hand_Dwelling_House_Apartment
312,0,50,0,3,0,0,915000.0,0,-6.1914851,53.295298800000005,0,1
313,0,27,1,5,1,1,580000.0,0,-6.163277099999999,53.452785,0,1
314,0,45,2,6,3,1,495000.0,0,-6.1777513,53.3758332,0,1
315,4,60,0,4,1,0,740000.0,0,-6.196463,53.28219910000001,0,1
316,0,41,2,1,2,0,278000.0,0,-6.1296905,53.39338370000001,0,1
317,0,30,1,1,1,0,450000.0,0,-6.4184831,53.3847514,0,1
318,0,24,0,2,1,0,275000.0,0,-6.4169137,53.3486522,0,1
319,0,27,0,2,3,0,275330.4,1,-6.1665709,53.4046281,1,0
320,0,14,0,2,1,0,286343.0,1,-6.2505602,53.4490238,1,0
321,0,21,1,2,2,0,251101.32,1,-6.441328700000001,53.3902949,1,0
322,0,78,0,4,3,1,375000.0,0,-6.3172995,53.3234287,0,1
323,0,2,0,1,0,0,245000.0,0,-6.3751084,53.43207389999999,0,1
324,0,21,0,2,2,0,285000.0,0,-6.1729772,53.4055475,0,1
325,0,13,0,1,1,0,286202.0,1,-6.2510996,53.4491156,1,0
326,0,14,0,1,0,0,555066.07,1,-6.3859816,53.3674668,1,0
327,0,26,0,1,0,0,252000.0,0,-6.4064442,53.31139029999999,0,1
328,0,20,0,0,0,0,211000.0,0,-6.248355200000001,53.4063294,0,1
329,4,46,0,2,2,0,630000.0,0,-6.2412933,53.3042778,0,1
330,0,29,0,3,1,0,210000.0,0,-6.4420378,53.3472108,0,1
331,0,78,0,4,3,1,220000.0,0,-6.318497,53.32169820000001,0,1
332,0,57,0,9,1,1,185000.0,0,-6.2646281,53.4002897,0,1
335,0,29,0,4,2,0,269000.0,0,-6.4385817,53.3375315,0,1
336,0,64,0,5,2,1,361000.0,0,-6.2809057,53.3176282,0,1
337,2,55,0,4,1,1,685000.0,0,-6.245555400000001,53.2827831,0,1
338,6,59,0,5,1,1,140000.0,0,-6.3760294,53.28600529999999,0,1
339,0,46,0,3,1,0,265000.0,0,-6.222237799999999,53.386364,0,1
340,0,43,1,3,2,0,675000.0,0,-6.1257273,53.275074100000005,0,1
341,0,25,0,3,1,0,380000.0,0,-6.330993299999999,53.271770200000006,0,1
342,0,29,1,1,2,0,150000.0,0,-6.3884117,53.3748932,0,1
343,0,10,0,1,0,0,212000.0,0,-6.1326025,53.5818943,0,1
344,0,19,0,4,1,0,233480.17,1,-6.3802788,53.2706019,1,0
345,0,40,1,3,1,0,110000.0,0,-6.4221832,53.3916726,0,1
346,0,40,1,3,1,0,110000.0,0,-6.4221832,53.3916726,0,1
347,0,33,2,1,0,0,440530.0,1,-6.3420785,53.3726115,1,0
348,0,36,2,1,0,0,342000.0,0,-6.336772900000001,53.3724282,0,1
349,10,109,0,9,2,2,700000.0,0,-6.278560400000001,53.3425554,0,1
350,0,24,1,0,0,1,370000.0,0,-6.1180983,53.22860260000001,0,1
351,2,47,0,2,1,0,606000.0,0,-6.2603941,53.295737,0,1
352,0,56,0,5,2,0,505000.0,0,-6.285582700000001,53.320396200000005,0,1
353,0,47,1,3,4,1,870000.0,0,-6.1919644,53.2989396,0,1
354,0,81,0,8,5,1,275000.0,0,-6.319977400000001,53.32104029999999,0,1
355,0,32,0,3,1,0,260000.0,0,-6.2506075,53.27192610000001,0,1
356,0,47,0,0,0,0,334801.0,1,-6.3135377,53.376258400000005,1,0
357,0,63,0,3,3,0,80000.0,0,-6.2428385,53.362698,0,1
358,0,66,0,6,4,2,276000.0,0,-6.2558019,53.388612300000005,0,1
359,0,74,0,5,2,1,287000.0,0,-6.2775978,53.3182917,0,1
361,0,42,0,1,1,0,570000.0,0,-6.2367302,53.276695,0,1
362,6,50,0,7,2,0,190000.0,0,-6.336174,53.3303206,0,1
363,0,11,1,1,1,0,780000.0,0,-6.1131468,53.2516918,0,1
364,0,50,0,4,3,1,510000.0,0,-6.2880176,53.293422,0,1
365,0,64,0,4,0,1,170000.0,0,-6.1924081,53.3931534,0,1
366,0,19,0,1,1,0,375000.0,1,-6.1316039,53.4256084,1,0
367,0,43,2,3,1,1,310000.0,0,-6.177729599999999,53.29921650000001,0,1
368,0,75,0,6,2,1,168000.0,0,-6.266704,53.39348670000001,0,1
369,0,40,0,0,5,1,192000.0,0,-6.2998352,53.3020563,0,1
